TimeStamp,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19
848,1.46767925,43.575301550000006,"[88, 113]",1.4598312,43.5797052,[],1.4651573,43.557091299999996,[],1.4389889999999999,43.648164799999996,[112],1.4039157,43.582899,[],1.4565848999999997,43.603289200000006,[],1.4258556999999998,43.6465559,[],1.4856128999999998,43.582668299999995,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4290056,43.5704039,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4275431,43.6091028,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3736576999999999,43.5651538,[101],1.4516022,43.6466383,[116],1.4769718,43.600430700000004,[117]
849,1.4653732,43.573870899999996,"[88, 113]",1.4592462,43.5792872,[],1.4684076000000001,43.5582939,[],1.4389161,43.64870139999999,[112],1.4005996,43.5841292,[],1.4560511999999999,43.5992849,[],1.4258556999999998,43.6465559,[],1.4857466000000001,43.5812993,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.43338975,43.571817700000004,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4253568,43.6118716,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3732562,43.5645409,[101],1.45560765,43.64666225,[116],1.4767451,43.600546,[117]
850,1.4651896,43.573798,"[88, 113]",1.4586723,43.578896,[],1.4727895,43.5580447,[],1.4399912,43.6485701,[112],1.4005676,43.58408920000001,[],1.4560194,43.59764379999999,[],1.4258556999999998,43.6465559,[],1.4856667,43.5812419,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4377739,43.5732315,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.425215,43.6122904,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3754636999999998,43.5637439,[101],1.4596131,43.646686200000005,[116],1.4761018999999997,43.6009467,[117]
851,1.4637507,43.573475,"[88, 113]",1.4578321,43.5783193,[],1.4709453,43.56073920000001,[],1.4431829,43.647833299999995,[112],1.4001902,43.5838726,[],1.4559351999999999,43.5970262,[],1.4258556999999998,43.6465559,[],1.4858046,43.5811717,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.437974,43.5737907,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4264084,43.612487,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3748023999999999,43.5627876,[101],1.46407485,43.6458122,[116],1.4747762,43.6040419,[117]
852,1.463647,43.5733574,"[88, 113]",1.4570145,43.5789588,[],1.4691011,43.563433700000004,[],1.4439283,43.6454497,[112],1.4004681,43.583796,[],1.4559024,43.5969468,[],1.4258556999999998,43.6465559,[],1.4861024999999999,43.5810514,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4380878000000001,43.572573999999996,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4292261999999998,43.613092,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3747493,43.5627093,[101],1.4685366000000002,43.644938200000006,[116],1.474717,43.6044333,[117]
853,1.4614023,43.5723696,"[88, 113]",1.4545462,43.5769023,[],1.4699601,43.5648576,[],1.4443031000000002,43.644335299999995,[112],1.4004778999999998,43.5832825,[],1.455759,43.5967686,[],1.4258556999999998,43.6465559,[],1.4882881000000001,43.582373499999996,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4381365,43.5725135,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.429716,43.6132444,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3772506000000002,43.561568900000005,[101],1.4726844,43.6425982,[116],1.4748053,43.60445670000001,[117]
854,1.4612363000000002,43.572252500000005,"[88, 113]",1.45446,43.576845299999995,[],1.4699833999999998,43.5649737,[],1.4463301000000002,43.642666399999996,[112],1.4002816,43.582199700000004,[],1.4539312,43.596093700000004,[],1.4258556999999998,43.6465559,[],1.4884701,43.582493299999996,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4386433,43.5720437,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4313417,43.6138525,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3773739999999999,43.56167670000001,[],1.4748624499999998,43.6399196,[116],1.474596,43.60456729999999,[117]
855,1.4627024,43.5713326,"[88, 113]",1.4531532,43.576044399999994,[],1.47254645,43.56409895,[],1.4458653000000001,43.6426614,"[112, 121]",1.3998466999999999,43.5807211,[],1.4538758,43.5960178,[],1.4258556999999998,43.6465559,[],1.488518,43.5825579,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4386242,43.5718713,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4320547,43.6142218,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3772506000000002,43.561568900000005,[],1.4770405,43.637240999999996,[116],1.475488,43.605806799999996,[117]
856,1.4640801,43.5696033,"[88, 113]",1.4537788,43.575505,[],1.4751094999999999,43.5632242,[],1.4463301000000002,43.642666399999996,"[112, 121]",1.3994826999999999,43.580490600000005,[],1.4539879,43.5958271,[],1.4258556999999998,43.6465559,[],1.4884803,43.582817799999994,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4390876,43.5710027,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.433085,43.6148842,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3747493,43.5627093,[],1.4777138,43.6348752,[116],1.4747825,43.606221600000005,[117]
857,1.4657850000000001,43.5691456,"[88, 113]",1.4529534,43.5749854,[],1.4756850000000001,43.563138200000004,[],1.4443031000000002,43.644335299999995,"[112, 121]",1.3988788,43.580380299999995,[],1.4537015,43.59508029999999,[],1.4258556999999998,43.6465559,[],1.4879481,43.5834929,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4394638000000002,43.5684974,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4347921000000001,43.6157167,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3748023999999999,43.5627876,[],1.4782952,43.6310142,[116],1.4772493999999998,43.6075102,[117]
